,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1690892,0.498002,4.280898,-8.944875,-0.0012898263473053988,-0.006406491017964103,0.00048513173652699887,59.82049355012163,87.85021555815132,-121.98623301329125,0.21010889359620538,0.9487298853997826,0.22372941078135797,0.07557121232665347
1690892,0.498002,4.280898,-8.944875,-0.0012898263473053988,-0.006406491017964103,0.00048513173652699887,59.82049355012163,87.85021555815132,-121.98623301329125,0.21010889359620538,0.9487298853997826,0.22372941078135797,0.07557121232665347
1690892,0.498002,4.280898,-8.944875,-0.0012898263473053988,-0.006406491017964103,0.00048513173652699887,59.82049355012163,87.85021555815132,-121.98623301329125,0.21010889359620538,0.9487298853997826,0.22372941078135797,0.07557121232665347
1690892,0.498002,4.280898,-8.944875,-0.0012898263473053988,-0.006406491017964103,0.00048513173652699887,59.82049355012163,87.85021555815132,-121.98623301329125,0.21010889359620538,0.9487298853997826,0.22372941078135797,0.07557121232665347
1690892,0.498002,4.280898,-8.944875,-0.0012898263473053988,-0.006406491017964103,0.00048513173652699887,59.82049355012163,87.85021555815132,-121.98623301329125,0.21010889359620538,0.9487298853997826,0.22372941078135797,0.07557121232665347
1690892,0.498002,4.280898,-8.944875,-0.0012898263473053988,-0.006406491017964103,0.00048513173652699887,59.82049355012163,87.85021555815132,-121.98623301329125,0.21010889359620538,0.9487298853997826,0.22372941078135797,0.07557121232665347
1690922,0.483636,4.290475,-8.997547,-0.0034208263473054,-0.005340491017964098,0.0015501317365269988,59.23668169437053,87.30331442381733,-120.513414771338,0.2102899028497845,0.9485529834520333,0.22463935064023058,0.07458254814372138
1690922,0.483636,4.290475,-8.997547,-0.0034208263473054,-0.005340491017964098,0.0015501317365269988,59.23668169437053,87.30331442381733,-120.513414771338,0.2102899028497845,0.9485529834520333,0.22463935064023058,0.07458254814372138
1690922,0.483636,4.290475,-8.997547,-0.0034208263473054,-0.005340491017964098,0.0015501317365269988,59.23668169437053,87.30331442381733,-120.513414771338,0.2102899028497845,0.9485529834520333,0.22463935064023058,0.07458254814372138
1690922,0.483636,4.290475,-8.997547,-0.0034208263473054,-0.005340491017964098,0.0015501317365269988,59.23668169437053,87.30331442381733,-120.513414771338,0.2102899028497845,0.9485529834520333,0.22463935064023058,0.07458254814372138
1690922,0.483636,4.290475,-8.997547,-0.0034208263473054,-0.005340491017964098,0.0015501317365269988,59.23668169437053,87.30331442381733,-120.513414771338,0.2102899028497845,0.9485529834520333,0.22463935064023058,0.07458254814372138
1690922,0.483636,4.290475,-8.997547,-0.0034208263473054,-0.005340491017964098,0.0015501317365269988,59.23668169437053,87.30331442381733,-120.513414771338,0.2102899028497845,0.9485529834520333,0.22463935064023058,0.07458254814372138
1690951,0.507578,4.304841,-9.069375,-0.00022482634730539887,-0.004275491017964102,-0.0005808682634729986,59.52118834452449,87.5394233418144,-122.0048256032025,0.20614694568704936,0.9495971842273541,0.22357412977952118,0.07604757053786153
1690951,0.507578,4.304841,-9.069375,-0.00022482634730539887,-0.004275491017964102,-0.0005808682634729986,59.52118834452449,87.5394233418144,-122.0048256032025,0.20614694568704936,0.9495971842273541,0.22357412977952118,0.07604757053786153
1690951,0.507578,4.304841,-9.069375,-0.00022482634730539887,-0.004275491017964102,-0.0005808682634729986,59.52118834452449,87.5394233418144,-122.0048256032025,0.20614694568704936,0.9495971842273541,0.22357412977952118,0.07604757053786153
1690951,0.507578,4.304841,-9.069375,-0.00022482634730539887,-0.004275491017964102,-0.0005808682634729986,59.52118834452449,87.5394233418144,-122.0048256032025,0.20614694568704936,0.9495971842273541,0.22357412977952118,0.07604757053786153
1690951,0.507578,4.304841,-9.069375,-0.00022482634730539887,-0.004275491017964102,-0.0005808682634729986,59.52118834452449,87.5394233418144,-122.0048256032025,0.20614694568704936,0.9495971842273541,0.22357412977952118,0.07604757053786153
1690951,0.507578,4.304841,-9.069375,-0.00022482634730539887,-0.004275491017964102,-0.0005808682634729986,59.52118834452449,87.5394233418144,-122.0048256032025,0.20614694568704936,0.9495971842273541,0.22357412977952118,0.07604757053786153
1690982,0.512367,4.323994,-9.007124,-0.00022482634730539887,-0.002144491017964101,0.00048513173652699887,59.21411011931156,89.70486464655352,-122.20114092172491,0.20997776616475491,0.9477594598052838,0.2274057797988866,0.07712298866172368
1690982,0.512367,4.323994,-9.007124,-0.00022482634730539887,-0.002144491017964101,0.00048513173652699887,59.21411011931156,89.70486464655352,-122.20114092172491,0.20997776616475491,0.9477594598052838,0.2274057797988866,0.07712298866172368
