,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1098822,0.167597,5.78448,-8.729393,0.054104173652694605,0.29400350898203587,0.038835131736527,88.74103453943617,133.72473993660583,-97.4095666203931,-0.24923330850972045,-0.9075221141110146,-0.30456487223433654,-0.1467194906263493
1098822,0.167597,5.78448,-8.729393,0.054104173652694605,0.29400350898203587,0.038835131736527,88.74103453943617,133.72473993660583,-97.4095666203931,-0.24923330850972045,-0.9075221141110146,-0.30456487223433654,-0.1467194906263493
1098822,0.167597,5.78448,-8.729393,0.054104173652694605,0.29400350898203587,0.038835131736527,88.74103453943617,133.72473993660583,-97.4095666203931,-0.24923330850972045,-0.9075221141110146,-0.30456487223433654,-0.1467194906263493
1098822,0.167597,5.78448,-8.729393,0.054104173652694605,0.29400350898203587,0.038835131736527,88.74103453943617,133.72473993660583,-97.4095666203931,-0.24923330850972045,-0.9075221141110146,-0.30456487223433654,-0.1467194906263493
1098822,0.167597,5.78448,-8.729393,0.054104173652694605,0.29400350898203587,0.038835131736527,88.74103453943617,133.72473993660583,-97.4095666203931,-0.24923330850972045,-0.9075221141110146,-0.30456487223433654,-0.1467194906263493
1098822,0.167597,5.78448,-8.729393,0.054104173652694605,0.29400350898203587,0.038835131736527,88.74103453943617,133.72473993660583,-97.4095666203931,-0.24923330850972045,-0.9075221141110146,-0.30456487223433654,-0.1467194906263493
1098852,1.110927,5.583364,-8.95924,0.1350661736526946,0.0436625089820359,0.093164131736527,89.92882314952983,133.66259119691028,-98.60533675878219,-0.2423012620876793,-0.9085144752445686,-0.3102448877635171,-0.14014155799906897
1098852,1.110927,5.583364,-8.95924,0.1350661736526946,0.0436625089820359,0.093164131736527,89.92882314952983,133.66259119691028,-98.60533675878219,-0.2423012620876793,-0.9085144752445686,-0.3102448877635171,-0.14014155799906897
1098852,1.110927,5.583364,-8.95924,0.1350661736526946,0.0436625089820359,0.093164131736527,89.92882314952983,133.66259119691028,-98.60533675878219,-0.2423012620876793,-0.9085144752445686,-0.3102448877635171,-0.14014155799906897
1098852,1.110927,5.583364,-8.95924,0.1350661736526946,0.0436625089820359,0.093164131736527,89.92882314952983,133.66259119691028,-98.60533675878219,-0.2423012620876793,-0.9085144752445686,-0.3102448877635171,-0.14014155799906897
1098852,1.110927,5.583364,-8.95924,0.1350661736526946,0.0436625089820359,0.093164131736527,89.92882314952983,133.66259119691028,-98.60533675878219,-0.2423012620876793,-0.9085144752445686,-0.3102448877635171,-0.14014155799906897
1098852,1.110927,5.583364,-8.95924,0.1350661736526946,0.0436625089820359,0.093164131736527,89.92882314952983,133.66259119691028,-98.60533675878219,-0.2423012620876793,-0.9085144752445686,-0.3102448877635171,-0.14014155799906897
1098912,1.537101,5.272113,-9.284856,-0.0652068263473054,-0.10121649101796411,-0.068758868263473,90.24162462638304,137.81474644237488,-96.28631973956146,-0.2329014991795505,-0.9086406212042799,-0.3148838374251491,-0.14483536206959377
1098912,1.537101,5.272113,-9.284856,-0.0652068263473054,-0.10121649101796411,-0.068758868263473,90.24162462638304,137.81474644237488,-96.28631973956146,-0.2329014991795505,-0.9086406212042799,-0.3148838374251491,-0.14483536206959377
1098912,1.537101,5.272113,-9.284856,-0.0652068263473054,-0.10121649101796411,-0.068758868263473,90.24162462638304,137.81474644237488,-96.28631973956146,-0.2329014991795505,-0.9086406212042799,-0.3148838374251491,-0.14483536206959377
1098912,1.537101,5.272113,-9.284856,-0.0652068263473054,-0.10121649101796411,-0.068758868263473,90.24162462638304,137.81474644237488,-96.28631973956146,-0.2329014991795505,-0.9086406212042799,-0.3148838374251491,-0.14483536206959377
1098912,1.537101,5.272113,-9.284856,-0.0652068263473054,-0.10121649101796411,-0.068758868263473,90.24162462638304,137.81474644237488,-96.28631973956146,-0.2329014991795505,-0.9086406212042799,-0.3148838374251491,-0.14483536206959377
1098912,1.537101,5.272113,-9.284856,-0.0652068263473054,-0.10121649101796411,-0.068758868263473,90.24162462638304,137.81474644237488,-96.28631973956146,-0.2329014991795505,-0.9086406212042799,-0.3148838374251491,-0.14483536206959377
1098942,1.32162,5.482805,-8.748547,-0.1930408263473054,-0.0724534910179641,-0.070888868263473,92.63747381526095,133.39063870844544,-97.68735028974584,-0.23796282830207965,-0.9068580441812358,-0.31270877109754214,-0.1523003759973152
1098942,1.32162,5.482805,-8.748547,-0.1930408263473054,-0.0724534910179641,-0.070888868263473,92.63747381526095,133.39063870844544,-97.68735028974584,-0.23796282830207965,-0.9068580441812358,-0.31270877109754214,-0.1523003759973152
